weather_date,highest_temp,lowset_temp,weather,wind_direction,air_quality
2017-12-21 周四,14°,4°,晴,无持续风向微风,96 良
2017-12-22 周五,15°,5°,晴~多云,无持续风向微风,117 轻度
2017-12-23 周六,13°,7°,阴,无持续风向微风,135 轻度
2017-12-24 周日,15°,3°,晴,无持续风向微风,87 良
2017-12-25 周一,13°,3°,晴,无持续风向微风,66 良
2017-12-26 周二,15°,7°,晴~多云,无持续风向微风,72 良
2017-12-27 周三,15°,7°,多云~小雨,无持续风向微风,88 良
2017-12-28 周四,11°,8°,小雨~阴,南风1-2级,103 轻度
2017-12-29 周五,14°,9°,多云~小雨,无持续风向微风,61 良
2017-12-30 周六,12°,5°,阴~晴,无持续风向微风,99 良
2017-12-31 周日,14°,4°,晴,无持续风向微风,106 轻度
2018-01-01 周一,12°,9°,多云~阴,无持续风向微风,89 良
2018-01-02 周二,12°,8°,阴,无持续风向微风,77 良
2018-01-03 周三,12°,4°,小雨~小到中雨,无持续风向微风,56 良
2018-01-04 周四,6°,3°,小到中雨~小雨,南风1-2级,15 优
2018-01-05 周五,7°,4°,阴~小雨,无持续风向微风,28 优
2018-01-06 周六,6°,3°,小雨~小到中雨,东北风1-2级,40 优
2018-01-07 周日,5°,2°,中雨~雨夹雪,无持续风向微风,32 优
2018-01-08 周一,5°,-1°,雨夹雪~晴,西北风1-2级,71 良
2018-01-09 周二,10°,0°,晴,西风1-2级,70 良
2018-01-10 周三,10°,1°,晴,无持续风向微风,74 良
2018-01-11 周四,11°,-1°,晴,无持续风向微风,69 良
2018-01-12 周五,9°,0°,晴~多云,东北风1-2级,65 良
2018-01-13 周六,11°,3°,多云~阴,无持续风向微风,70 良
2018-01-14 周日,13°,3°,多云,无持续风向微风,80 良
2018-01-15 周一,15°,8°,多云~阴,无持续风向微风,92 良
2018-01-16 周二,16°,8°,多云~阴,东北风1-2级,76 良
2018-01-17 周三,16°,6°,多云,无持续风向微风,90 良
2018-01-18 周四,16°,8°,多云,无持续风向微风,99 良
2018-01-19 周五,15°,7°,多云,北风1-2级,151 中度
2018-01-20 周六,13°,8°,阴~小雨,无持续风向微风,117 轻度
2018-01-21 周日,10°,7°,小雨~阴,无持续风向微风,84 良
2018-01-22 周一,12°,5°,多云,无持续风向微风,55 良
2018-01-23 周二,13°,4°,多云~阴,无持续风向微风,81 良
2018-01-24 周三,6°,4°,小雨,无持续风向微风,82 良
2018-01-25 周四,2°,0°,小雨,北风1-2级,21 优
2018-01-26 周五,2°,0°,雨夹雪~小雨,南风1-2级,30 优
2018-01-27 周六,1°,0°,小雨~小到中雨,无持续风向微风,34 优
2018-01-28 周日,1°,-1°,雨夹雪~阴,无持续风向微风,42 优
2018-01-29 周一,3°,-2°,多云~晴,无持续风向微风,63 良
2018-01-30 周二,5°,-2°,多云~阴,无持续风向微风,94 良
2018-01-31 周三,7°,-2°,多云~晴,南风1-2级,99 良
2018-02-01 周四,8°,1°,晴~多云,无持续风向微风,84 良
2018-02-02 周五,8°,-1°,多云,北风1-2级,78 良
2018-02-03 周六,4°,-3°,多云,南风1-2级,62 良
2018-02-04 周日,4°,-2°,多云,无持续风向微风,58 良
2018-02-05 周一,7°,-1°,晴,东北风1-2级,58 良
2018-02-06 周二,9°,1°,晴~多云,无持续风向微风,75 良
2018-02-07 周三,10°,2°,多云,无持续风向微风,73 良
2018-02-08 周四,12°,4°,晴~阴,东北风1-2级,78 良
2018-02-09 周五,11°,7°,阴,东北风1-2级,89 良
2018-02-10 周六,10°,2°,小雨~阴,北风1-2级,107 轻度
2018-02-11 周日,12°,2°,晴,无持续风向微风,117 轻度
2018-02-12 周一,12°,2°,晴,东北风1-2级,105 轻度
2018-02-13 周二,16°,3°,晴,南风1-2级,92 良
2018-02-14 周三,21°,12°,晴~多云,无持续风向微风,87 良
2018-02-15 周四,16°,10°,阴~小雨,北风1-2级,96 良
2018-02-16 周五,16°,6°,阴~多云,东风1-2级,95 良
2018-02-17 周六,18°,8°,多云~小雨,东北风1-2级,106 轻度
2018-02-18 周日,17°,8°,阴~小雨,无持续风向微风,91 良
2018-02-19 周一,9°,7°,小雨,北风3-4级,38 优
2018-02-20 周二,8°,5°,小到中雨~小雨,无持续风向微风,22 优
2018-02-21 周三,9°,5°,小雨,无持续风向微风,36 优
2018-02-22 周四,10°,3°,小雨~多云,无持续风向微风,41 优
2018-02-23 周五,16°,3°,晴~小雨,东风1-2级,52 良
2018-02-24 周六,11°,8°,小雨~阴,无持续风向微风,40 优
2018-02-25 周日,14°,6°,多云,无持续风向微风,67 良
2018-02-26 周一,17°,7°,晴~多云,无持续风向微风,53 良
2018-02-27 周二,17°,9°,小雨,北风1-2级,55 良
2018-02-28 周三,22°,11°,多云~晴,无持续风向微风,38 优
2018-03-01 周四,23°,10°,多云~小雨,东风1-2级,48 优
2018-03-02 周五,18°,12°,阴~小到中雨,无持续风向微风,76 良
2018-03-03 周六,24°,18°,阴~多云,无持续风向微风,78 良
2018-03-04 周日,30°,11°,小雨~中雨,西南风3-4级,54 良
2018-03-05 周一,11°,9°,阴~小雨,北风3-4级,24 优
2018-03-06 周二,11°,8°,小雨~中雨,北风3-4级,39 优
2018-03-07 周三,10°,7°,中雨~阴,无持续风向微风,22 优
2018-03-08 周四,13°,5°,多云,无持续风向微风,27 优
2018-03-09 周五,14°,4°,晴,东北风1-2级,48 优
2018-03-10 周六,18°,10°,晴~多云,无持续风向微风,71 良
2018-03-11 周日,21°,11°,阴~多云,南风1-2级,77 良
2018-03-12 周一,23°,12°,多云,西南风1-2级,83 良
2018-03-13 周二,24°,16°,多云~阵雨,无持续风向微风,123 轻度
2018-03-14 周三,23°,15°,雷阵雨~小雨,西南风3-4级,69 良
2018-03-15 周四,24°,11°,雷阵雨~小到中雨,无持续风向微风,56 良
2018-03-16 周五,14°,11°,阴~多云,北风3-4级,33 优
2018-03-17 周六,20°,15°,小雨,无持续风向微风,54 良
2018-03-18 周日,21°,10°,中雨,北风3-4级,35 优
2018-03-19 周一,12°,8°,小雨,无持续风向微风,18 优
2018-03-20 周二,11°,6°,阴~多云,北风1-2级,27 优
2018-03-21 周三,14°,6°,多云,北风1-2级,55 良
2018-03-22 周四,20°,10°,晴,无持续风向微风,67 良
2018-03-23 周五,24°,14°,晴~阴,无持续风向微风,94 良
2018-03-24 周六,18°,14°,小雨,东北风1-2级,90 良
2018-03-25 周日,17°,13°,小雨~阴,无持续风向微风,62 良
2018-03-26 周一,21°,11°,多云,西北风1-2级,70 良
2018-03-27 周二,25°,15°,晴,无持续风向微风,79 良
2018-03-28 周三,27°,17°,多云~阴,南风1-2级,83 良
2018-03-29 周四,24°,18°,小雨~阴,东北风1-2级,90 良
2018-03-30 周五,28°,17°,多云,东北风1-2级,84 良
2018-03-31 周六,28°,19°,多云,无持续风向微风,93 良
2018-04-01 周日,29°,19°,多云~阵雨,无持续风向微风,100 良
2018-04-02 周一,27°,19°,小到中雨~小雨,无持续风向微风,75 良
2018-04-03 周二,29°,19°,小到中雨~中雨,西南风1-2级,53 良
2018-04-04 周三,25°,12°,多云~中雨,无持续风向微风,55 良
2018-04-05 周四,17°,10°,中雨~小雨,北风3-4级,40 优
2018-04-06 周五,17°,8°,阴~多云,无持续风向微风,56 良
2018-04-07 周六,17°,6°,多云~晴,北风1-2级,91 良
2018-04-08 周日,23°,12°,晴,无持续风向微风,80 良
2018-04-09 周一,27°,16°,晴,无持续风向微风,84 良
2018-04-10 周二,30°,20°,多云~阵雨,无持续风向微风,85 良
2018-04-11 周三,27°,21°,阵雨~雷阵雨,无持续风向微风,70 良
2018-04-12 周四,27°,21°,雷阵雨~中到大雨,无持续风向微风,63 良
2018-04-13 周五,25°,14°,中雨~大雨,西南风1-2级,41 优
2018-04-14 周六,19°,14°,小雨~阴,无持续风向微风,25 优
2018-04-15 周日,19°,11°,多云~晴,东北风1-2级,78 良
2018-04-16 周一,21°,13°,阴~多云,无持续风向微风,97 良
2018-04-17 周二,24°,13°,晴,东风1-2级,98 良
2018-04-18 周三,27°,17°,晴,无持续风向微风,84 良
2018-04-19 周四,30°,19°,晴,无持续风向微风,95 良
2018-04-20 周五,28°,21°,多云,无持续风向微风,82 良
2018-04-21 周六,28°,21°,多云~雷阵雨,无持续风向微风,48 优
2018-04-22 周日,28°,18°,雷阵雨~中到大雨,无持续风向微风,48 优
2018-04-23 周一,23°,17°,大雨~阴,无持续风向微风,23 优
2018-04-24 周二,22°,15°,多云~晴,北风3-4级,31 优
2018-04-25 周三,25°,17°,多云~阴,无持续风向微风,47 优
2018-04-26 周四,23°,18°,阵雨~阴,无持续风向微风,61 良
2018-04-27 周五,27°,19°,多云,无持续风向微风,71 良
2018-04-28 周六,29°,21°,多云~雷阵雨,无持续风向微风,78 良
2018-04-29 周日,27°,22°,雷阵雨~小雨,无持续风向微风,68 良
2018-04-30 周一,27°,21°,小雨,西南风1-2级,39 优
2018-05-01 周二,30°,23°,小雨~中雨,无持续风向微风,34 优
2018-05-02 周三,27°,19°,小雨~阴,北风1-2级,41 优
2018-05-03 周四,26°,18°,多云~阴,无持续风向微风,52 良
2018-05-04 周五,26°,19°,阴~小雨,无持续风向微风,73 良
2018-05-05 周六,31°,25°,多云~阵雨,无持续风向微风,62 良
2018-05-06 周日,30°,20°,小雨~中到大雨,西南风3-4级,33 优
2018-05-07 周一,25°,18°,阴,无持续风向微风,24 优
2018-05-08 周二,25°,17°,多云,无持续风向微风,33 优
2018-05-09 周三,27°,18°,晴~多云,无持续风向微风,52 良
2018-05-10 周四,23°,19°,阵雨~阴,东风1-2级,64 良
2018-05-11 周五,26°,21°,小雨,西南风1-2级,47 优
2018-05-12 周六,28°,23°,雷阵雨~阴,无持续风向微风,46 优
2018-05-13 周日,31°,23°,多云,无持续风向微风,48 优
2018-05-14 周一,33°,25°,多云,无持续风向微风,55 良
2018-05-15 周二,35°,27°,晴,无持续风向微风,44 优
2018-05-16 周三,35°,27°,晴,无持续风向微风,43 优
2018-05-17 周四,35°,27°,多云~晴,西南风1-2级,50 优
2018-05-18 周五,34°,25°,雷阵雨~阴,无持续风向微风,64 良
2018-05-19 周六,33°,25°,雷阵雨~小到中雨,无持续风向微风,30 优
2018-05-20 周日,29°,24°,小到中雨~小雨,无持续风向微风,33 优
2018-05-21 周一,31°,25°,小雨,东北风1-2级,36 优
2018-05-22 周二,28°,20°,小到中雨~小雨,无持续风向微风,31 优
2018-05-23 周三,27°,21°,阴~多云,无持续风向微风,62 良
2018-05-24 周四,32°,25°,多云,无持续风向微风,51 良
2018-05-25 周五,35°,24°,晴~小到中雨,无持续风向微风,67 良
2018-05-26 周六,30°,25°,小雨,东北风1-2级,33 优
2018-05-27 周日,28°,23°,阴,无持续风向微风,52 良
2018-05-28 周一,31°,24°,多云~阵雨,无持续风向微风,97 良
2018-05-29 周二,31°,23°,多云~小到中雨,东北风1-2级,85 良
2018-05-30 周三,28°,21°,中雨~大到暴雨,无持续风向微风,62 良
2018-05-31 周四,23°,19°,小雨,北风3-4级,32 优
2018-06-01 周五,26°,21°,多云~阴,无持续风向微风,36 优
2018-06-02 周六,25°,21°,小雨~阴,无持续风向微风,40 优
2018-06-03 周日,28°,22°,多云~小雨,东风1-2级,42 优
2018-06-04 周一,26°,21°,小雨~中雨,无持续风向微风,48 优
2018-06-05 周二,24°,21°,小雨~阴,北风1-2级,33 优
2018-06-06 周三,28°,22°,多云~阵雨,无持续风向微风,37 优
2018-06-07 周四,30°,24°,阴~阵雨,无持续风向微风,38 优
2018-06-08 周五,28°,23°,阵雨,无持续风向微风,19 优
2018-06-09 周六,28°,23°,中雨~小雨,无持续风向微风,25 优
2018-06-10 周日,30°,20°,多云~晴,无持续风向微风,40 优
2018-06-11 周一,32°,23°,晴~多云,无持续风向微风,70 良
2018-06-12 周二,29°,23°,多云~阴,无持续风向微风,69 良
2018-06-13 周三,29°,21°,阴~多云,无持续风向微风,38 优
2018-06-14 周四,31°,22°,多云,无持续风向微风,41 优
2018-06-15 周五,33°,23°,晴~多云,无持续风向微风,67 良
2018-06-16 周六,33°,25°,晴~多云,无持续风向微风,74 良
2018-06-17 周日,33°,26°,多云,无持续风向微风,66 良
2018-06-18 周一,35°,27°,多云,东风1-2级,54 良
2018-06-19 周二,35°,25°,雷阵雨~大雨,无持续风向微风,50 优
2018-06-20 周三,30°,24°,雷阵雨~中雨,无持续风向微风,27 优
2018-06-21 周四,29°,25°,阴~小雨,无持续风向微风,35 优
2018-06-22 周五,29°,25°,中雨~中到大雨,无持续风向微风,37 优
2018-06-23 周六,31°,26°,雷阵雨~阴,无持续风向微风,34 优
2018-06-24 周日,33°,26°,阴~多云,无持续风向微风,39 优
2018-06-25 周一,34°,27°,多云,无持续风向微风,32 优
2018-06-26 周二,35°,27°,晴,西南风3-4级,31 优
2018-06-27 周三,35°,28°,晴,无持续风向微风,40 优
2018-06-28 周四,36°,28°,晴~多云,无持续风向微风,42 优
2018-06-29 周五,35°,26°,多云~中雨,西南风1-2级,43 优
2018-06-30 周六,32°,25°,雷阵雨~大雨,无持续风向微风,30 优
2018-07-01 周日,31°,26°,中雨,无持续风向微风,27 优
2018-07-02 周一,32°,27°,小雨~多云,无持续风向微风,38 优
2018-07-03 周二,33°,27°,雷阵雨~多云,无持续风向微风,42 优
2018-07-04 周三,35°,28°,多云,西南风1-2级,50 优
2018-07-05 周四,35°,26°,多云~中雨,无持续风向微风,51 良
2018-07-06 周五,31°,26°,大雨~小雨,无持续风向微风,32 优
2018-07-07 周六,30°,26°,阴~阵雨,无持续风向微风,23 优
2018-07-08 周日,33°,27°,阴~多云,无持续风向微风,25 优
2018-07-09 周一,34°,28°,多云,无持续风向微风,36 优
2018-07-10 周二,36°,28°,晴,无持续风向微风,51 良
2018-07-11 周三,34°,25°,多云~中雨,无持续风向微风,46 优
2018-07-12 周四,31°,25°,小雨~多云,南风1-2级,22 优
2018-07-13 周五,35°,27°,多云,无持续风向微风,38 优
2018-07-14 周六,35°,27°,晴~多云,无持续风向微风,29 优
2018-07-15 周日,35°,27°,晴,无持续风向微风,48 优
2018-07-16 周一,35°,27°,多云,东南风1-2级,54 良
2018-07-17 周二,36°,28°,晴,东南风1-2级,58 良
2018-07-18 周三,37°,29°,晴,东南风1-2级,40 优
2018-07-19 周四,37°,29°,晴,东南风1-2级,40 优
2018-07-20 周五,36°,29°,晴,东风1-2级,41 优
2018-07-21 周六,37°,29°,晴~多云,东北风1-2级,48 优
2018-07-22 周日,36°,29°,晴,北风1-2级,50 优
2018-07-23 周一,36°,29°,多云,西风1-2级,51 良
2018-07-24 周二,37°,29°,多云,西南风1-2级,50 优
2018-07-25 周三,37°,29°,多云,西南风1-2级,36 优
2018-07-26 周四,37°,29°,多云,西南风1-2级,52 良
2018-07-27 周五,37°,29°,多云,西南风1-2级,51 良
2018-07-28 周六,37°,29°,多云,西南风1-2级,47 优
2018-07-29 周日,37°,29°,多云,西南风1-2级,41 优
2018-07-30 周一,37°,28°,多云,西南风1-2级,45 优
2018-07-31 周二,37°,29°,小雨,东风1-2级,46 优
2018-08-01 周三,36°,27°,多云~阵雨,北风1-2级,41 优
2018-08-02 周四,35°,26°,阵雨,北风1-2级,43 优
2018-08-03 周五,34°,27°,小雨~多云,北风1-2级,47 优
2018-08-04 周六,35°,27°,多云~阴,西南风1-2级,54 良
2018-08-05 周日,35°,27°,雷阵雨~多云,西南风1-2级,47 优
2018-08-06 周一,35°,27°,多云,西南风1-2级,45 优
2018-08-07 周二,37°,28°,多云,西南风1-2级,61 良
2018-08-08 周三,36°,28°,多云,北风1-2级,63 良
2018-08-09 周四,36°,28°,多云,北风1-2级,59 良
2018-08-10 周五,37°,29°,多云,东北风1-2级,57 良
2018-08-11 周六,37°,29°,多云,无持续风向微风,66 良
2018-08-12 周日,38°,28°,多云,北风3-4级,74 良
2018-08-13 周一,35°,28°,雷阵雨~多云,北风1-2级,35 优
2018-08-14 周二,37°,28°,多云,东北风1-2级,34 优
2018-08-15 周三,36°,28°,多云,东北风3-4级,32 优
2018-08-16 周四,35°,26°,小雨~多云,北风3-4级,38 优
2018-08-17 周五,34°,27°,雷阵雨~多云,西北风1-2级,27 优
2018-08-18 周六,35°,27°,多云,西南风1-2级,32 优
2018-08-19 周日,35°,27°,多云,西南风1-2级,47 优
2018-08-20 周一,36°,27°,多云,北风1-2级,49 优
2018-08-21 周二,35°,27°,多云,北风1-2级,37 优
2018-08-22 周三,34°,27°,多云~小雨,北风3-4级,50 优
2018-08-23 周四,34°,25°,多云~晴,北风3-4级,44 优
2018-08-24 周五,34°,25°,晴,北风3-4级,71 良
2018-08-25 周六,31°,25°,小雨~小到中雨,北风3-4级,71 良
2018-08-26 周日,32°,26°,多云,东北风3-4级,40 优
2018-08-27 周一,34°,26°,多云,东北风3-4级,40 优
2018-08-28 周二,34°,27°,多云,东北风1-2级,46 优
2018-08-29 周三,35°,27°,多云,东北风1-2级,35 优
2018-08-30 周四,31°,25°,小雨,南风1-2级,21 优
2018-08-31 周五,30°,25°,小雨~阴,南风1-2级,22 优
2018-09-01 周六,33°,26°,小雨,西南风1-2级,20 优
2018-09-02 周日,34°,27°,多云,西南风1-2级,28 优
2018-09-03 周一,34°,26°,多云~小雨,西风1-2级,45 优
2018-09-04 周二,34°,25°,小雨~多云,东北风1-2级,55 良
2018-09-05 周三,35°,26°,多云,东北风1-2级,62 良
2018-09-06 周四,36°,25°,多云~阴,北风1-2级,78 良
2018-09-07 周五,28°,22°,小雨~多云,北风3-4级,52 良
2018-09-08 周六,30°,21°,多云~晴,东北风1-2级,49 优
2018-09-09 周日,30°,20°,多云,东北风1-2级,48 优
2018-09-10 周一,30°,22°,多云,东北风1-2级,43 优
2018-09-11 周二,31°,23°,多云,东北风1-2级,49 优
2018-09-12 周三,30°,24°,多云,东北风1-2级,50 优
2018-09-13 周四,33°,24°,多云,东北风1-2级,50 优
2018-09-14 周五,34°,26°,晴,东北风1-2级,49 优
2018-09-15 周六,35°,25°,多云,北风3-4级,55 良
2018-09-16 周日,35°,26°,多云,东北风3-4级,62 良
2018-09-17 周一,35°,26°,小雨,东北风1-2级,42 优
2018-09-18 周二,34°,26°,多云,东北风1-2级,25 优
2018-09-19 周三,35°,27°,多云,西南风1-2级,46 优
2018-09-20 周四,36°,26°,多云~阴,西南风1-2级,55 良
2018-09-21 周五,30°,23°,阴~小雨,北风1-2级,38 优
2018-09-22 周六,29°,22°,多云~小雨,北风1-2级,37 优
2018-09-23 周日,24°,21°,小雨~多云,北风1-2级,51 良
2018-09-24 周一,30°,22°,多云,东北风1-2级,54 良
2018-09-25 周二,29°,22°,多云,东北风1-2级,50 优
2018-09-26 周三,24°,20°,阴,北风3-4级,43 优
2018-09-27 周四,27°,21°,多云,北风1-2级,40 优
2018-09-28 周五,28°,20°,多云~晴,北风1-2级,47 优
2018-09-29 周六,28°,19°,晴,北风3-4级,56 良
2018-09-30 周日,31°,22°,多云,北风1-2级,61 良
2018-10-01 周一,28°,19°,多云,东北风1-2级,64 良
2018-10-02 周二,28°,19°,晴,北风1-2级,54 良
2018-10-03 周三,28°,19°,晴,东北风1-2级,58 良
2018-10-04 周四,28°,18°,晴,北风3-4级,67 良
2018-10-05 周五,27°,17°,晴,北风3-4级,61 良
2018-10-06 周六,28°,18°,晴,东北风1-2级,71 良
2018-10-07 周日,28°,18°,晴~多云,东北风1-2级,74 良
2018-10-08 周一,29°,20°,多云,北风1-2级,82 良
2018-10-09 周二,24°,18°,小雨~阴,北风1-2级,67 良
2018-10-10 周三,23°,13°,多云~晴,北风3-4级,66 良
2018-10-11 周四,23°,14°,晴,东北风1-2级,48 优
2018-10-12 周五,24°,14°,晴~多云,东北风1-2级,53 良
2018-10-13 周六,24°,18°,多云~阴,东北风1-2级,62 良
2018-10-14 周日,19°,16°,小雨,东北风1-2级,46 优
2018-10-15 周一,19°,17°,小雨~阴,北风1-2级,53 良
2018-10-16 周二,22°,16°,阴,北风1-2级,43 优
2018-10-17 周三,22°,15°,多云~晴,东北风1-2级,56 良
2018-10-18 周四,24°,15°,晴~多云,东北风3-4级,61 良
2018-10-19 周五,21°,16°,阴~小雨,东北风1-2级,57 良
2018-10-20 周六,19°,15°,小雨,东北风1-2级,45 优
2018-10-21 周日,18°,16°,小雨,北风1-2级,32 优
2018-10-22 周一,19°,15°,阴,北风1-2级,28 优
2018-10-23 周二,22°,15°,阴~多云,东北风1-2级,46 优
2018-10-24 周三,23°,18°,阴~小雨,东风1-2级,63 良
2018-10-25 周四,22°,16°,小雨,西南风1-2级,59 良
2018-10-26 周五,24°,12°,晴,北风1-2级,46 优
2018-10-27 周六,23°,13°,晴,东北风1-2级,61 良
2018-10-28 周日,25°,13°,晴,西南风1-2级,84 良
2018-10-29 周一,27°,13°,晴,北风1-2级,83 良
2018-10-30 周二,27°,14°,晴,北风1-2级,71 良
2018-10-31 周三,25°,14°,晴,北风1-2级,64 良
2018-11-01 周四,21°,13°,多云,东北风3-4级,70 良
2018-11-02 周五,20°,14°,阴,东北风1-2级,59 良
2018-11-03 周六,21°,14°,多云,东风1-2级,44 优
2018-11-04 周日,24°,17°,多云,北风1-2级,56 良
2018-11-05 周一,24°,16°,多云,东北风1-2级,56 良
2018-11-06 周二,21°,13°,小雨,北风3-4级,51 良
2018-11-07 周三,15°,11°,中雨~小雨,北风1-2级,15 优
2018-11-08 周四,16°,8°,小雨~多云,南风1-2级,19 优
2018-11-09 周五,18°,11°,多云,东北风1-2级,42 优
2018-11-10 周六,18°,14°,小雨,东北风1-2级,47 优
2018-11-11 周日,17°,14°,小雨,北风1-2级,29 优
2018-11-12 周一,16°,11°,阴~多云,北风1-2级,47 优
2018-11-13 周二,16°,13°,阴~小雨,东北风1-2级,42 优
2018-11-14 周三,16°,14°,中雨~小雨,东北风1-2级,32 优
2018-11-15 周四,16°,14°,小雨,北风1-2级,47 优
2018-11-16 周五,15°,12°,小雨,北风3-4级,42 优
2018-11-17 周六,14°,11°,小雨,东北风1-2级,37 优
2018-11-18 周日,13°,10°,小雨~多云,北风3-4级,18 优
2018-11-19 周一,15°,11°,多云~小雨,东北风1-2级,29 优
2018-11-20 周二,15°,11°,小雨,东风1-2级,37 优
2018-11-21 周三,15°,9°,小雨~多云,西北风2级,37 优
2018-11-22 周四,16°,7°,晴,东北风3级,93 良
2018-11-23 周五,17°,8°,晴,西南风1级,91 良
2018-11-24 周六,20°,10°,晴,东北风1级,90 良
2018-11-25 周日,19°,10°,多云~晴,东北风1级,75 良
2018-11-26 周一,20°,10°,晴,东北风2级,84 良
2018-11-27 周二,21°,10°,晴,东北风2级,85 良
2018-11-28 周三,20°,10°,晴,东北风1级,81 良
2018-11-29 周四,20°,10°,晴,东北风1级,97 良
2018-11-30 周五,22°,11°,晴~多云,东北风1级,83 良
2018-12-01 周六,22°,15°,多云~中雨,东北风2级,132 轻度
2018-12-02 周日,18°,15°,中雨,东北风1级,117 轻度
2018-12-03 周一,20°,13°,小雨~中雨,东北风2级,45 优
2018-12-04 周二,13°,10°,小雨~阴,东北风4级,27 优
2018-12-05 周三,13°,10°,小雨,东北风3级,39 优
2018-12-06 周四,10°,6°,小雨,东北风4级,15 优
2018-12-07 周五,5°,3°,小雨,东北风4级,20 优
2018-12-08 周六,3°,1°,小雨,东北风4级,31 优
2018-12-09 周日,3°,1°,小雨,东北风3级,45 优
2018-12-10 周一,5°,2°,小雨,北风3级,39 优
2018-12-11 周二,6°,2°,阴~多云,西北风3级,33 优
2018-12-12 周三,7°,3°,多云~阴,东北风3级,94 良
2018-12-13 周四,7°,3°,小雨~多云,东北风2级,122 轻度
2018-12-14 周五,10°,5°,多云~阴,东北风3级,105 轻度
2018-12-15 周六,7°,4°,小雨,北风2级,88 良
2018-12-16 周日,12°,3°,多云~晴,西南风1级,56 良
2018-12-17 周一,14°,3°,晴,西南风1级,91 良
2018-12-18 周二,16°,4°,晴~多云,东南风1级,122 轻度
2018-12-19 周三,15°,9°,阴~小雨,东北风2级,117 轻度
2018-12-20 周四,12°,9°,小雨,东北风2级,55 良
2018-12-21 周五,14°,11°,小雨,东北风2级,56 良
2018-12-22 周六,14°,10°,小雨,东北风2级,48 优
2018-12-23 周日,13°,6°,多云,东北风4级,48 优
2018-12-24 周一,13°,7°,多云,东北风3级,48 优
2018-12-25 周二,12°,8°,阴~小雨,东北风2级,53 良
2018-12-26 周三,11°,7°,小雨,东北风3级,40 优
2018-12-27 周四,7°,4°,小雨,东北风4级,22 优
2018-12-28 周五,4°,-1°,小雨~多云,东北风4级,56 良
2018-12-29 周六,3°,-1°,阴~雨夹雪,东北风4级,58 良
2018-12-30 周日,1°,-1°,大雪~小雪,东北风3级,56 良
2018-12-31 周一,2°,-1°,阴,东北风3级,53 良
2019-01-01 周二,3°,0°,小雨,东北风3级,59 良
2019-01-02 周三,3°,-1°,小雨~多云,东北风3级,57 良
2019-01-03 周四,7°,2°,多云~小雨,东北风2级,75 良
2019-01-04 周五,7°,5°,中雨,西北风2级,26 优
2019-01-05 周六,7°,3°,小雨~阴,西北风2级,63 良
2019-01-06 周日,10°,5°,多云~小雨,东北风2级,94 良
2019-01-07 周一,8°,4°,小雨~多云,东北风2级,66 良
2019-01-08 周二,8°,4°,小雨,东北风3级,103 轻度
2019-01-09 周三,6°,4°,小雨~中雨,东北风3级,28 优
2019-01-10 周四,6°,4°,小雨~中雨,东北风2级,21 优
2019-01-11 周五,8°,3°,小雨,东北风2级,29 优
2019-01-12 周六,9°,5°,多云~阴,东北风2级,44 优
2019-01-13 周日,10°,6°,多云~小雨,东北风2级,65 良
2019-01-14 周一,9°,5°,小雨,东北风2级,102 轻度
2019-01-15 周二,8°,2°,小雨,东北风3级,92 良
2019-01-16 周三,6°,1°,小雨~多云,东北风3级,123 轻度
2019-01-17 周四,11°,0°,晴,东北风1级,104 轻度
2019-01-18 周五,12°,7°,多云~小雨,西南风1级,81 良
2019-01-19 周六,10°,5°,小雨,东北风2级,78 良
2019-01-20 周日,9°,4°,阴,东北风3级,116 轻度
2019-01-21 周一,10°,1°,多云~晴,东北风2级,154 中度
2019-01-22 周二,13°,1°,晴,西南风1级,121 轻度
2019-01-23 周三,13°,2°,晴,东南风1级,106 轻度
2019-01-24 周四,15°,6°,晴~多云,东北风1级,95 良
2019-01-25 周五,13°,4°,多云~晴,东北风2级,108 轻度
2019-01-26 周六,10°,2°,晴,东北风3级,97 良
2019-01-27 周日,12°,5°,多云~阴,东北风2级,64 良
2019-01-28 周一,13°,6°,多云,东北风2级,90 良
2019-01-29 周二,16°,7°,多云,东北风2级,96 良
2019-01-30 周三,16°,7°,多云~小雨,东北风2级,111 轻度
2019-01-31 周四,10°,2°,阴~多云,东北风3级,60 良
2019-02-01 周五,10°,3°,多云~晴,东北风2级,62 良
2019-02-02 周六,18°,7°,多云~小雨,西南风2级,51 良
2019-02-03 周日,14°,7°,小雨~多云,东北风3级,65 良
2019-02-04 周一,12°,6°,小雨,东北风3级,99 良
2019-02-05 周二,10°,6°,小雨~多云,西南风1级,57 良
2019-02-06 周三,18°,8°,多云~小雨,东北风1级,74 良
2019-02-07 周四,13°,4°,小雨,东北风4级,44 优
2019-02-08 周五,7°,3°,小雨,东北风4级,22 优
2019-02-09 周六,5°,3°,小雨,东北风3级,20 优
2019-02-10 周日,4°,2°,小雨,东北风3级,28 优
2019-02-11 周一,6°,2°,小雨,东北风2级,39 优
2019-02-12 周二,7°,3°,小雨,东北风2级,37 优
2019-02-13 周三,6°,5°,小雨,东北风2级,22 优
2019-02-14 周四,8°,6°,小雨,东北风2级,22 优
2019-02-15 周五,7°,5°,小雨,东北风3级,15 优
2019-02-16 周六,6°,2°,小雨,东北风3级,25 优
2019-02-17 周日,4°,2°,小雨,东北风3级,72 良
